statisticalID,name,partOf,code,physicalType
AWn3s2RqgAN,Western 1,Location/0,ADMIN_STRUCTURE,Jurisdiction
utIjliUdjp8,Western 2,Location/0,ADMIN_STRUCTURE,Jurisdiction
J7PQPWAeRUk,Lower River,Location/0,ADMIN_STRUCTURE,Jurisdiction
KozcEjeTyuD,Upper River,Location/0,ADMIN_STRUCTURE,Jurisdiction
B1u1bVtIA92,Central River,Location/0,ADMIN_STRUCTURE,Jurisdiction
dbTLdTi7s8F,North Bank East,Location/0,ADMIN_STRUCTURE,Jurisdiction
SwwuteU1Ajk,North Bank West,Location/0,ADMIN_STRUCTURE,Jurisdiction
